color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes,genre_1,genre_2,genre_3,genre_4,genre_5
color,Angelina Jolie Pitt,137.0,115603980.0,Biography|Drama|Sport|War,Unbroken,2014,English,USA,65000000.0,7.2,"Finn Wittrock,Jack O'Connell,Alex Russell",35000,Biography,Drama,Sport,War,None
None,Seth MacFarlane,136.0,42615685.0,Comedy|Western,A Million Ways to Die in the West,2014,English,USA,40000000.0,6.1,"Liam Neeson,Charlize Theron,Seth MacFarlane",24000,Comedy,Western,None,None,None
color,Anthony Russo,136.0,259746958.0,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier,2014,English,USA,170000000.0,7.8,"Scarlett Johansson,Chris Evans,Hayley Atwell",55000,Action,Adventure,Sci-Fi,None,None
color,Rob Marshall,136.0,241063875.0,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides,2011,English,USA,250000000.0,6.7,"Johnny Depp,Sam Claflin,Stephen Graham",58000,Action,Adventure,Fantasy,None,None
color,Adam Shankman,136.0,38509342.0,Comedy|Drama|Musical|Romance,Rock of Ages,2012,English,USA,75000000.0,5.9,"James Martin Kelly,Shane Hartline,Celina Beach",33000,Comedy,Drama,Musical,Romance,None
color,Unknown,136.0,52474616.0,Drama,Wall Street: Money Never Sleeps,2010,English,USA,70000000.0,6.3,"Frank Langella,Austin Pendleton,John Buffalo Mailer",13000,Drama,None,None,None,None
color,Tony Gilroy,135.0,113165635.0,Action|Adventure|Thriller,The Bourne Legacy,2012,English,USA,125000000.0,6.7,"Jeremy Renner,Scott Glenn,Stacy Keach",31000,Action,Adventure,Thriller,None,None
color,Steve McQueen,134.0,56667870.0,Biography|Drama|History,12 Years a Slave,2013,English,USA,20000000.0,8.1,"Quvenzhané Wallis,Scoot McNairy,Taran Killam",83000,Biography,Drama,History,None,None
color,Paul Greengrass,134.0,107100855.0,Biography|Drama|Thriller,Captain Phillips,2013,English,USA,55000000.0,7.9,"Tom Hanks,Chris Mulkey,Michael Chernus",65000,Biography,Drama,Thriller,None,None
color,David Ayer,134.0,85707116.0,Action|Drama|War,Fury,2014,English,USA,68000000.0,7.6,"Brad Pitt,Logan Lerman,Jim Parrack",82000,Action,Drama,War,None,None
color,Clint Eastwood,144.0,47034272.0,Biography|Drama|Music|Musical,Jersey Boys,2014,English,USA,40000000.0,6.9,"Johnny Cannizzaro,Steve Schirripa,Scott Vance",16000,Biography,Drama,Music,Musical,None
